category,code,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
BSP,BSP-47,5.3133333333333335,6.723333333333334,1.5255555555555553,28.711836051861145,1.1560659999999998
RESIN (a=9 r=4.5),C-5,9.164,9.164,1.5112000000000003,16.49061545176779,1.1451873600000004
BSP,BSP-16,6.2,6.2,1.4760000000000004,23.80645161290323,1.1185128
WSP,WSP-44,2.855,4.022,1.3589999999999998,47.60070052539403,1.0298501999999998
PLA C,C-17,6.9350000000000005,6.9350000000000005,1.3400000000000003,19.322278298485944,1.0154520000000005
RESIN (a=6 r=3),CUBE-5,8.015,8.015,1.2674999999999996,15.814098565190262,0.9605115000000002
HC,HC-47,4.135,5.2625,1.225,29.625151148730357,0.9283049999999999
RESIN (a=9 r=4.5),C-3,10.47,10.469999999999999,1.2199999999999998,11.652340019102194,0.9245159999999997
RESIN (a=9 r=4.5),C-2,9.3525,9.3525,1.1962500000000003,12.790697674418608,0.9065182500000004
WSP,WSP-49,3.1025,4.185,1.1666666666666667,37.604082728982,0.8840999999999998
RESIN (a=9 r=4.5),C-1,8.61,8.61,1.16,13.472706155632984,0.8790479999999997
RESIN (a=9 r=4.5),CUBE-4,8.988,8.988,1.0664000000000002,11.864708500222523,0.8081179200000005
BSP,BSP-6,5.595,5.595,1.0466666666666666,18.707179028894846,0.793164
WSP,WSP-48,3.140000000000001,4.18,1.0399999999999998,33.12101910828024,0.7881119999999997
RESIN (a=6 r=3),CUBE-4,8.45,8.45,1.0299999999999996,12.189349112426033,0.7805339999999996
WSP,WSP-46,3.5125,4.066000000000001,1.0074999999999998,28.683274021352315,0.7634835000000002
PLA C,C-5,5.779999999999999,5.779999999999999,0.9899999999999998,17.128027681660896,0.7502219999999995
RESIN (a=9 r=4.5),CUBE-3,9.445,9.445,0.9849999999999994,10.428798305981994,0.7464329999999997
ABS C,C-1,4.62,4.62,0.9199999999999999,19.91341991341991,0.6971760000000002
RESIN (a=6 r=3),SP-1,11.953333333333331,11.953333333333333,0.8833333333333332,7.389849414389292,0.6693899999999996
WSP,WSP-7,3.1900000000000004,3.1900000000000004,0.8800000000000001,27.586206896551722,0.6668639999999998
PLA CUBE,CUBE-3,5.8660000000000005,5.8660000000000005,0.8728000000000001,14.878963518581656,0.6614078400000001
BSP,BSP-31,4.460000000000001,4.46,0.8600000000000001,19.28251121076233,0.6517080000000004
PLA C,C-19,3.114,3.114,0.8576,27.540141297366734,0.6498892800000002
C,C-14,5.585,5.585,0.8450000000000002,15.129811996418983,0.6403410000000003
HC,HC-42,4.535,5.32,0.8324999999999998,18.35722160970231,0.6308684999999999
RESIN (a=6 r=3),C-3,9.0575,9.0575,0.7974999999999999,8.804857852608334,0.6043455
PLA C,C-13,6.364,6.364,0.7695999999999998,12.09302325581395,0.5832028799999996
C,C-27,5.37,5.37,0.768,14.30167597765363,0.5819904
RESIN (a=9 r=4.5),D-7,3.466,3.466,0.7527999999999999,21.719561454125788,0.57047184
ABS C,C-16,3.9033333333333338,3.9033333333333338,0.7488888888888893,19.185881013378886,0.5675080000000005
BSP,BSP-11,5.462,5.462,0.7296,13.35774441596485,0.5528908800000001
RESIN (a=6 r=3),CUBE-1,8.1,8.1,0.7233333333333335,8.930041152263376,0.5481420000000002
WSP,WSP-26,3.2525,3.2525,0.7225,22.21368178324366,0.5475105
RESIN (a=6 r=3),C-2,9.708333333333334,9.708333333333334,0.7216666666666663,7.433476394849781,0.5468789999999998
RESIN (a=9 r=4.5),C-4,9.51,9.51,0.7200000000000002,7.570977917981075,0.5456160000000001
ABS HC,HC-2,2.5383333333333336,2.5383333333333336,0.7172222222222224,28.25563580652222,0.5435110000000001
RESIN (a=6 r=3),CUBE-2,8.738333333333333,8.738333333333333,0.7150000000000002,8.182338355903111,0.5418270000000001
PLA CUBE,CUBE-28,6.759999999999999,6.760000000000001,0.7133333333333335,10.552268244575941,0.5405640000000002
RESIN (a=6 r=3),SP-3,10.516666666666667,10.516666666666667,0.6900000000000004,6.561014263074488,0.5228820000000002
RESIN (a=6 r=3),D-6,2.6633333333333336,2.6633333333333336,0.6766666666666667,25.406758448060074,0.512778
RESIN (a=6 r=3),C-1,9.163333333333332,9.163333333333332,0.666666666666667,7.275372862859226,0.5052000000000003
ABS HC,HC-8,2.528,2.528,0.6664,26.360759493670884,0.5049979199999999
PLA C,C-27,6.674,6.6739999999999995,0.6631999999999998,9.937069223853758,0.50257296
PLA CUBE,CUBE-16,6.0075,6.0075,0.6487499999999999,10.799001248439449,0.4916227499999999
PLA C,C-18,6.801666666666667,6.801666666666667,0.6472222222222221,9.515641591113289,0.4904650000000002
RESIN (a=9 r=4.5),D-8,3.594,3.594,0.6472,18.00779076238175,0.49044815999999997
C,C-16,4.295,4.295,0.6349999999999998,14.784633294528517,0.48120300000000005
ABS C,C-5,4.425,4.425,0.6000000000000001,13.559322033898308,0.4546800000000002
WSP,WSP-9,4.1075,4.1075,0.5775,14.059646987218503,0.4376295000000001
BSP,BSP-24,3.7266666666666666,3.7266666666666666,0.5711111111111111,15.324985092426955,0.4327880000000001
ABS CUBE,CUBE-10,3.942,3.942,0.5664,14.368340943683407,0.4292179199999998
RESIN (a=9 r=4.5),SP-4,12.993333333333334,12.993333333333334,0.5644444444444447,4.344108089618611,0.42773600000000034
RESIN (a=6 r=3),D-5,2.538,2.538,0.5536,21.812450748620964,0.4195180800000001
BSP,BSP-21,6.338333333333334,6.338333333333334,0.5516666666666666,8.703655009203258,0.4180530000000002
C,C-30,5.6625,5.6625,0.5362500000000001,9.47019867549669,0.40637025000000027
RESIN (a=6 r=3),SP-8,12.4,12.4,0.5333333333333338,4.3010752688172085,0.40416000000000035
RESIN (a=9 r=4.5),D-6,3.186,3.186,0.5328,16.72316384180791,0.4037558399999999
RESIN (a=9 r=4.5),SP-5,14.333333333333334,14.333333333333334,0.5222222222222221,3.6434108527131777,0.39574000000000115
HC,HC-15,3.872,3.872,0.4855999999999998,12.541322314049582,0.3679876799999999
PLA HC,HC-11,4.953333333333333,4.953333333333333,0.4822222222222221,9.735307312696275,0.3654279999999998
PLA C,C-1,6.84,6.84,0.48,7.017543859649123,0.3637440000000003
PLA CUBE,CUBE-4,6.1,6.1,0.48,7.868852459016394,0.36374400000000007
PLA CUBE,CUBE-21,3.673333333333333,3.6733333333333333,0.48,13.067150635208712,0.36374400000000007
WSP,WSP-20,4.615,4.615,0.47750000000000004,10.346695557963162,0.36184950000000016
PLA C,C-11,6.35,6.35,0.47,7.401574803149606,0.356166
PA 6,HC-4,6.075,6.075,0.4616666666666666,7.599451303155004,0.34985099999999986
BSP,BSP-8,4.826666666666667,4.826666666666667,0.45111111111111085,9.346224677716384,0.341852
C,C-25,5.8740000000000006,5.8740000000000006,0.44880000000000014,7.640449438202249,0.3401006400000002
ABS C,C-10,2.8825000000000003,2.8825000000000003,0.44624999999999987,15.481352992194271,0.33816825000000006
PLA C,C-3,6.658333333333334,6.658333333333334,0.43500000000000005,6.53316645807259,0.3296430000000002
PLA CUBE,CUBE-5,6.52,6.52,0.43,6.595092024539878,0.32585400000000025
ABS CUBE,CUBE-9,3.414,3.414,0.4272,12.513181019332162,0.32373216000000016
PA 6,BSP-4,8.096666666666666,8.096666666666666,0.4244444444444448,5.242212158638677,0.3216440000000003
PLA CUBE,CUBE-10,6.048333333333333,6.048333333333333,0.4216666666666667,6.971617525489116,0.3195390000000001
PLA C,C-9,7.240000000000001,7.239999999999999,0.4200000000000002,5.8011049723756924,0.3182760000000003
ABS C,C-6,4.098000000000001,4.098000000000001,0.41839999999999994,10.209858467545141,0.3170635199999999
ABS CUBE,CUBE-1,3.778,3.778,0.41039999999999993,10.862890418210691,0.31100111999999996
PLA C,C-14,6.756666666666667,6.756666666666667,0.40888888888888913,6.051636244038813,0.3098560000000002
PLA C,C-23,7.386,7.386,0.4071999999999999,5.513132954237745,0.30857616
ABS CUBE,CUBE-8,3.9683333333333337,3.9683333333333337,0.4044444444444446,10.191796164076722,0.30648800000000004
PLA CUBE,CUBE-7,5.942,5.942,0.4016,6.758667115449343,0.3043324800000001
HC,HC-11,3.7466666666666666,3.7466666666666666,0.39777777777777795,10.616844602609731,0.3014360000000001
WSP,WSP-30,3.2125,3.2125,0.39125,12.178988326848248,0.2964892499999998
ABS C,C-8,4.45,4.45,0.3900000000000001,8.764044943820227,0.2955420000000002
HC,HC-24,4.66,4.66,0.3899999999999999,8.36909871244635,0.2955420000000001
PLA C,C-7,6.488333333333333,6.488333333333333,0.38166666666666654,5.882352941176468,0.28922699999999973
BSP,BSP-25,5.4433333333333325,5.4433333333333325,0.38000000000000006,6.98101653398653,0.28796400000000005
PLA C,C-22,6.066,6.066,0.3792,6.251236399604352,0.2873577600000001
PLA CUBE,CUBE-2,6.28,6.28,0.36333333333333345,5.785562632696393,0.27533400000000025
PLA CUBE,CUBE-9,6.673333333333333,6.673333333333333,0.36000000000000004,5.394605394605395,0.27280799999999994
C,C-24,3.27,3.27,0.3599999999999999,11.009174311926602,0.2728079999999997
WSP,WSP-21,4.0325,4.0325,0.35125000000000006,8.71047737135772,0.2661772499999998
PLA C,C-8,6.445,6.445,0.345,5.3529868114817685,0.26144100000000026
ABS C,C-12,3.06,3.06,0.345,11.274509803921568,0.2614409999999999
PLA CUBE,CUBE-6,7.09,7.09,0.345,4.866008462623412,0.2614409999999996
RESIN (a=9 r=4.5),D-4,3.694,3.694,0.34079999999999994,9.225771521386031,0.25825824
WSP,WSP-12,3.6216666666666666,3.6216666666666666,0.3383333333333332,9.341923607915321,0.256389
RESIN (a=6 r=3),D-3,2.982,2.982,0.33759999999999984,11.321260898725681,0.25583327999999994
HC,HC-21,4.416,4.416,0.33680000000000004,7.6268115942028984,0.25522704
BSP,BSP-9,5.014,5.014,0.33440000000000014,6.66932588751496,0.25340832000000024
PLA CUBE,CUBE-14,5.868333333333333,5.868333333333333,0.33166666666666655,5.651803464924735,0.2513370000000001
RESIN (a=6 r=3),SP-4,11.634,11.634,0.3312000000000001,2.846828261990718,0.2509833600000004
PLA CUBE,CUBE-11,5.829999999999999,5.829999999999999,0.33000000000000024,5.660377358490571,0.2500740000000006
RESIN (a=6 r=3),D-4,2.9800000000000004,2.98,0.32999999999999996,11.073825503355701,0.2500739999999999
PLA C,C-12,6.1883333333333335,6.1883333333333335,0.3288888888888888,5.314660202890742,0.24923199999999954
