category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,d_eq,d_eq_m,V_ms,rho_p,Re,CD
ABS C,C-3,0,Cylinder,5.446666666666666,5.233333333333334,0.0,1140.522851236535,4.516,0.3385705244110894,5,121.93541873483838,136.14817821300198,1.040565497038782,0.8956081552855747,5.374606390929957,0.0053746063909299565,0.04516,1140.522851236535,242.231790165168,4.922667499529837
ABS C,C-4,0,Cylinder,5.396666666666666,5.239999999999999,0.0,1165.029569507883,3.66,0.1555634918610404,2,119.8594709481517,134.58752224916114,1.0297017108694269,0.8905689691370982,5.343930791502606,0.005343930791502606,0.0366,1165.029569507883,195.1966912350574,8.733115796649422
ABS C,C-5,0,Cylinder,5.406666666666666,5.276666666666666,0.0,1146.3828340883151,4.425,0.7284000732198391,4,121.14590310702488,135.54464335766232,1.024442619844628,0.8937712336396547,5.362981310443718,0.005362981310443719,0.04425,1146.3828340883151,236.83729914116026,5.3264836455060705
ABS C,C-6,0,Cylinder,5.539999999999999,5.37,0.0,1122.6643940626736,4.098000000000001,0.5895506763629397,5,129.44452807918535,141.67200566922386,1.0314652764848258,0.913691646191646,5.482743622327684,0.005482743622327684,0.04098000000000001,1122.6643940626736,224.23346797570255,5.3342536544508565
ABS C,C-7,0,Cylinder,5.443333333333334,5.36,0.0,1164.0331017352394,3.4799999999999995,0.0,1,124.73390851359645,138.20244819589186,1.0153578312503886,0.902544854609198,5.415412585203298,0.005415412585203298,0.0348,1164.0331017352394,188.0794452491446,9.730719326883223
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,4.45,0.4649014232429637,4,117.58860644866522,132.87015317178378,0.992318741022919,0.8849888680164196,5.309966576026996,0.005309966576026996,0.044500000000000005,1184.934350049543,235.82092560793492,6.569587183872198
ABS C,C-9,0,Cylinder,5.333333333333333,3.266666666666667,0.0,1182.952505698218,3.256,0.3214498405661447,5,72.97803379005624,99.413954193597,1.6321534224217074,0.7340823970037454,4.5293313393114945,0.004529331339311495,0.03256,1182.952505698218,147.18007835116632,10.356254678801818
ABS CUBE,CUBE-1,2,Cube,5.2,5.113333333333333,5.13,1035.8988434882212,3.778,0.571987762106848,5,136.40328,158.99346666666668,1.016750309587434,0.8579121202121498,5.147641236094145,0.005147641236094146,0.03778,1035.8988434882212,194.08893012783753,1.7913791869929458
ABS CUBE,CUBE-10,2,Cube,3.016666666666667,2.986666666666667,3.1966666666666668,1006.9005220348412,3.942,0.6856894340734728,5,28.8012562962963,56.40086666666668,1.0097065714604487,0.5106436718931814,3.065282298912351,0.0030652822989123514,0.039420000000000004,1006.9005220348412,120.59176136667865,0.23010704738200286
ABS CUBE,CUBE-11,2,Cube,3.056666666666666,3.0766666666666667,3.1833333333333336,1018.8006074278508,3.245,0.388908729652601,2,29.937163148148144,57.85757777777778,0.9931766489764972,0.5174196168998534,3.105061559424374,0.003105061559424374,0.03245,1018.8006074278508,100.5577291081143,0.8038851992770291
