category,code,exp_id,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
BSP,BSP-47,BSP-47-10.02.2024-ANG-FIRST,5.3133333333333335,7.5,2.1866666666666665,41.1543287327478,1.6570559999999999
BSP,BSP-47,BSP-47-10.02.2024-ANG-SECOND,5.3133333333333335,8.8,3.4866666666666672,65.6210790464241,2.6421959999999993
BSP,BSP-47,BSP-47-10.02.2024-ANG-THIRD,5.3133333333333335,5.66,0.3466666666666667,6.524466750313677,0.2627039999999994
BSP,BSP-47,BSP-47-10.02.2024-MAK-FIRST,5.3133333333333335,8.1,2.786666666666666,52.44667503136762,2.1117359999999996
BSP,BSP-47,BSP-47-10.02.2024-MAK-SECOND,5.3133333333333335,5.11,0.20333333333333314,3.826850690087826,0.1540860000000004
BSP,BSP-47,BSP-47-10.02.2024-MAK-THIRD,5.3133333333333335,5.17,0.14333333333333353,2.6976160602258505,0.10861800000000077
BSP,BSP-49,BSP-49-10.02.2024-ANG-FIRST,3.8533333333333335,9.19,5.336666666666666,138.4948096885813,4.0441259999999986
BSP,BSP-49,BSP-49-10.02.2024-ANG-SECOND,3.8533333333333335,7.5,3.6466666666666665,94.63667820069203,2.7634440000000002
BSP,BSP-49,BSP-49-10.02.2024-MAK-FIRST,3.8533333333333335,3.96,0.10666666666666647,2.7681660899653924,0.08083199999999957
BSP,BSP-49,BSP-49-10.02.2024-MAK-SECOND,3.8533333333333335,4.04,0.18666666666666654,4.844290657439442,0.1414559999999998
BSP,BSP-49,BSP-49-10.02.2024-MAK-THIRD,3.8533333333333335,3.56,0.29333333333333345,7.612456747404846,0.22228800000000026
BSP,BSP-50,BSP-50-10.02.2024-ANG-FIRST,5.390000000000001,8.74,3.3499999999999996,62.15213358070499,2.5386299999999995
BSP,BSP-50,BSP-50-10.02.2024-ANG-SECOND,5.390000000000001,8.53,3.139999999999999,58.25602968460109,2.379491999999998
BSP,BSP-50,BSP-50-10.02.2024-ANG-THIRD,5.390000000000001,8.74,3.3499999999999996,62.15213358070499,2.5386299999999995
BSP,BSP-50,BSP-50-10.02.2024-MAK-FIRST,5.390000000000001,5.5,0.10999999999999943,2.0408163265306016,0.0833579999999996
BSP,BSP-50,BSP-50-10.02.2024-MAK-SECOND,5.390000000000001,5.47,0.07999999999999918,1.4842300556586119,0.0606239999999989
BSP,BSP-50,BSP-50-10.02.2024-MAK-THIRD,5.390000000000001,5.2,0.1900000000000004,3.525046382189246,0.14398200000000028
C,C-49,C-49-10.02.2024-ANG-FIRST,5.416666666666667,7.42,2.003333333333333,36.984615384615374,1.5181259999999996
C,C-49,C-49-10.02.2024-ANG-SECOND,5.416666666666667,9.25,3.833333333333333,70.76923076923076,2.9049000000000005
C,C-49,C-49-10.02.2024-ANG-THIRD,5.416666666666667,5.23,0.18666666666666654,3.4461538461538437,0.1414559999999998
C,C-49,C-49-10.02.2024-MAK-FIRST,5.416666666666667,10.25,4.833333333333333,89.23076923076923,3.6627
C,C-49,C-49-10.02.2024-MAK-SECOND,5.416666666666667,6.1,0.6833333333333327,12.615384615384603,0.51783
C,C-49,C-49-10.02.2024-MAK-THIRD,5.416666666666667,4.92,0.49666666666666703,9.169230769230776,0.3763740000000002
HC,HC-41,HC-41-10.02.2024-ANG-FIRST,3.2533333333333334,6.88,3.6266666666666665,111.47540983606557,2.7482879999999996
HC,HC-41,HC-41-10.02.2024-ANG-SECOND,3.2533333333333334,3.62,0.3666666666666667,11.27049180327869,0.27786
HC,HC-41,HC-41-10.02.2024-ANG-THIRD,3.2533333333333334,8.91,5.656666666666666,173.87295081967213,4.2866219999999995
HC,HC-41,HC-41-10.02.2024-MAK-SECOND,3.2533333333333334,2.09,1.1633333333333336,35.758196721311485,0.8815740000000001
HC,HC-41,HC-41-10.02.2024-MAK-THIRD,3.2533333333333334,4.05,0.7966666666666664,24.48770491803278,0.6037140000000001
HC,HC-42,HC-42-10.02.2024-ANG-SECOND,4.535,5.52,0.9849999999999994,21.719955898566692,0.7464329999999997
HC,HC-42,HC-42-10.02.2024-ANG-THIRD,4.535,6.69,2.1550000000000002,47.51929437706726,1.6330590000000003
HC,HC-42,HC-42-10.02.2024-MAK-SECOND,4.535,4.63,0.09499999999999975,2.094818081587646,0.07199100000000014
HC,HC-42,HC-42-10.02.2024-MAK-THIRD,4.535,4.44,0.09499999999999975,2.094818081587646,0.0719909999999997
HC,HC-44,HC-44-10.02.2024-ANG-FIRST,4.359999999999999,7.5,3.1400000000000006,72.01834862385323,2.379492000000001
HC,HC-44,HC-44-10.02.2024-ANG-SECOND,4.359999999999999,8.96,4.600000000000001,105.50458715596335,3.4858800000000016
HC,HC-44,HC-44-10.02.2024-ANG-THIRD,4.359999999999999,7.7,3.3400000000000007,76.60550458715599,2.531052
HC,HC-44,HC-44-10.02.2024-MAK-SECOND,4.359999999999999,4.7,0.34000000000000075,7.7981651376146965,0.2576520000000002
HC,HC-44,HC-44-10.02.2024-MAK-THIRD,4.359999999999999,4.02,0.33999999999999986,7.798165137614677,0.2576520000000002
HC,HC-46,HC-46-10.02.2024-ANG-SECOND,3.62,11.97,8.350000000000001,230.66298342541438,6.327630000000001
HC,HC-46,HC-46-10.02.2024-ANG-THIRD,3.62,3.28,0.3400000000000003,9.392265193370173,0.2576520000000002
HC,HC-46,HC-46-10.02.2024-MAK-THIRD,3.62,3.96,0.33999999999999986,9.39226519337016,0.25765199999999977
HC,HC-47,HC-47-10.02.2024-ANG-FIRST,4.135,6.45,2.3150000000000004,55.985489721886346,1.7543069999999998
HC,HC-47,HC-47-10.02.2024-ANG-SECOND,4.135,4.33,0.19500000000000028,4.715840386940757,0.1477710000000001
HC,HC-47,HC-47-10.02.2024-ANG-THIRD,4.135,6.33,2.1950000000000003,53.08343409915358,1.6633709999999997
HC,HC-47,HC-47-10.02.2024-MAK-SECOND,4.135,3.94,0.19499999999999984,4.715840386940746,0.1477710000000001
WSP,WSP-41,WSP-41-10.02.2024-ANG-FIRST,3.12,3.57,0.44999999999999973,14.423076923076913,0.3410099999999998
WSP,WSP-41,WSP-41-10.02.2024-ANG-THIRD,3.12,7.74,4.62,148.07692307692307,3.5010359999999996
WSP,WSP-41,WSP-41-10.02.2024-MAK-SECOND,3.12,2.67,0.4500000000000002,14.423076923076927,0.34101000000000026
WSP,WSP-42,WSP-42-10.02.2024-ANG-FIRST,4.516666666666667,3.38,1.1366666666666667,25.166051660516608,0.8613660000000003
WSP,WSP-42,WSP-42-10.02.2024-ANG-SECOND,4.516666666666667,6.63,2.1133333333333333,46.789667896678964,1.6014839999999997
WSP,WSP-42,WSP-42-10.02.2024-ANG-THIRD,4.516666666666667,10.48,5.963333333333334,132.02952029520296,4.519014
WSP,WSP-42,WSP-42-10.02.2024-MAK-SECOND,4.516666666666667,3.12,1.3966666666666665,30.92250922509225,1.0583939999999998
WSP,WSP-42,WSP-42-10.02.2024-MAK-THIRD,4.516666666666667,7.05,2.533333333333333,56.08856088560885,1.9197600000000006
WSP,WSP-44,WSP-44-10.02.2024-ANG-FIRST,2.855,8.69,5.834999999999999,204.37828371278454,4.421762999999999
WSP,WSP-44,WSP-44-10.02.2024-ANG-SECOND,2.855,3.1,0.2450000000000001,8.581436077057797,0.18566100000000008
WSP,WSP-44,WSP-44-10.02.2024-ANG-THIRD,2.855,3.09,0.23499999999999988,8.231173380035022,0.178083
WSP,WSP-44,WSP-44-10.02.2024-MAK-SECOND,2.855,2.66,0.19499999999999984,6.830122591943953,0.14777099999999965
WSP,WSP-44,WSP-44-10.02.2024-MAK-THIRD,2.855,2.57,0.28500000000000014,9.982486865148866,0.2159730000000002
WSP,WSP-46,WSP-46-10.02.2024-ANG-FIRST,3.5125,4.16,0.6475,18.434163701067614,0.49067550000000004
WSP,WSP-46,WSP-46-10.02.2024-ANG-SECOND,3.5125,3.16,0.35250000000000004,10.0355871886121,0.2671245
