category,code,shape_enc,shape_name,a,b,c,density,velocity_ms,velocity_cms,date,view,repeat,volume,surface_area,aspect_ratio,vol_surf_ratio
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.943957874208,0.0828,8.28,09.01.2025,MAK,SECOND,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495057,0.0931,9.31,09.01.2025,ANG,FIRST,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495057,0.0960999999999999,9.61,09.01.2025,ANG,SECOND,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495057,0.0944,9.44,09.01.2025,ANG,THIRD,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495057,0.0785,7.85,09.01.2025,MAK,FIRST,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495057,0.0812,8.12,09.01.2025,MAK,SECOND,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495057,0.081,8.1,09.01.2025,MAK,THIRD,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-3,2,Cube,6.24,6.24,6.24,1158.5318742160696,0.1,10.0,09.01.2025,ANG,FIRST,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),CUBE-3,2,Cube,6.24,6.24,6.24,1158.5318742160696,0.095,9.5,09.01.2025,ANG,SECOND,242.970624,233.6256,0.9998397692677456,1.0399955484521026
RESIN (a=6 r=3),D-3,6,Elliptic Cylinder,6.0,6.0,0.0,1069.255055319151,0.0355,3.55,09.01.2025,ANG,FIRST,141.3716694115407,108.0,0.9998333611064822,1.3089848187659436
RESIN (a=6 r=3),D-3,6,Elliptic Cylinder,6.0,6.0,0.0,1069.255055319151,0.0218,2.18,09.01.2025,ANG,THIRD,141.3716694115407,108.0,0.9998333611064822,1.3089848187659436
RESIN (a=6 r=3),D-3,6,Elliptic Cylinder,6.0,6.0,0.0,1069.255055319151,0.0321,3.2099999999999995,09.01.2025,MAK,FIRST,141.3716694115407,108.0,0.9998333611064822,1.3089848187659436
RESIN (a=6 r=3),D-3,6,Elliptic Cylinder,6.0,6.0,0.0,1069.255055319151,0.0302999999999999,3.03,09.01.2025,MAK,SECOND,141.3716694115407,108.0,0.9998333611064822,1.3089848187659436
RESIN (a=6 r=3),D-3,6,Elliptic Cylinder,6.0,6.0,0.0,1069.255055319151,0.0294,2.94,09.01.2025,MAK,THIRD,141.3716694115407,108.0,0.9998333611064822,1.3089848187659436
RESIN (a=6 r=3),SP-2,5,Sphere,6.3,0.0,0.0,1103.691191341414,0.1256,12.560000000000002,09.01.2025,ANG,FIRST,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-2,5,Sphere,6.3,0.0,0.0,1103.691191341414,0.0924,9.24,09.01.2025,MAK,FIRST,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-3,5,Sphere,6.3,0.0,0.0,1113.6205930628248,0.1168999999999999,11.69,09.01.2025,ANG,FIRST,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-3,5,Sphere,6.3,0.0,0.0,1113.6205930628248,0.1113,11.13,09.01.2025,ANG,SECOND,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-3,5,Sphere,6.3,0.0,0.0,1113.6205930628248,0.108,10.8,09.01.2025,ANG,THIRD,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-3,5,Sphere,6.3,0.0,0.0,1113.6205930628248,0.0993,9.93,09.01.2025,MAK,FIRST,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-3,5,Sphere,6.3,0.0,0.0,1113.6205930628248,0.1012,10.12,09.01.2025,MAK,SECOND,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=6 r=3),SP-3,5,Sphere,6.3,0.0,0.0,1113.6205930628248,0.0943,9.43,09.01.2025,MAK,THIRD,130.92430304202782,124.68981242097888,6300.0,1.049991579171074
RESIN (a=9 r=4.5),C-3,0,Cylinder,9.15,9.4,0.0,1168.577961975711,0.1168999999999999,11.69,09.01.2025,ANG,FIRST,618.101678709403,401.71937960534393,0.9733007126901394,1.5386404293381035
RESIN (a=9 r=4.5),C-3,0,Cylinder,9.15,9.4,0.0,1168.577961975711,0.0925,9.25,09.01.2025,MAK,FIRST,618.101678709403,401.71937960534393,0.9733007126901394,1.5386404293381035
RESIN (a=9 r=4.5),C-4,0,Cylinder,9.15,9.4,0.0,1171.3283185247333,0.1071,10.71,09.01.2025,ANG,THIRD,618.101678709403,401.71937960534393,0.9733007126901394,1.5386404293381035
RESIN (a=9 r=4.5),C-4,0,Cylinder,9.15,9.4,0.0,1171.3283185247333,0.0816,8.16,09.01.2025,MAK,FIRST,618.101678709403,401.71937960534393,0.9733007126901394,1.5386404293381035
RESIN (a=9 r=4.5),C-4,0,Cylinder,9.15,9.4,0.0,1171.3283185247333,0.0942,9.42,09.01.2025,MAK,SECOND,618.101678709403,401.71937960534393,0.9733007126901394,1.5386404293381035
RESIN (a=9 r=4.5),C-4,0,Cylinder,9.15,9.4,0.0,1171.3283185247333,0.0975,9.75,09.01.2025,MAK,THIRD,618.101678709403,401.71937960534393,0.9733007126901394,1.5386404293381035
