category,code,shape_name,velocity_mean,predicted,error,abs_error,pct_error
ABS HC,HC-6,Half Cylinder,2.932,5.781356666666668,-2.8493566666666683,2.8493566666666683,97.18133242382908
ABS HC,HC-7,Half Cylinder,3.135,5.7949833333333345,-2.6599833333333347,2.6599833333333347,84.84795321637432
ABS HC,HC-8,Half Cylinder,2.528,5.807573333333337,-3.2795733333333366,3.2795733333333366,129.7299578059073
ABS HC,HC-9,Half Cylinder,2.96,5.796205000000001,-2.8362050000000014,2.8362050000000014,95.81773648648654
BSP,BSP-10,Box Shape Prism,5.3500000000000005,5.342981666666666,0.007018333333334681,0.007018333333334681,0.13118380062307813
BSP,BSP-11,Box Shape Prism,5.462,5.297753333333332,0.16424666666666798,0.16424666666666798,3.0070792139631637
BSP,BSP-12,Box Shape Prism,5.796666666666667,5.3049366666666655,0.49173000000000133,0.49173000000000133,8.482978723404278
BSP,BSP-16,Box Shape Prism,6.2,5.392650000000003,0.8073499999999969,0.8073499999999969,13.021774193548335
BSP,BSP-17,Box Shape Prism,5.783333333333334,5.249430555555556,0.5339027777777785,0.5339027777777785,9.231748318924122
BSP,BSP-18,Box Shape Prism,4.52,5.325271666666667,-0.805271666666667,0.805271666666667,17.81574483775812
BSP,BSP-21,Box Shape Prism,6.338333333333334,5.2887733333333315,1.0495600000000023,1.0495600000000023,16.55892716276627
BSP,BSP-23,Box Shape Prism,3.93,4.112531666666667,-0.1825316666666672,0.1825316666666672,4.644571670907562
BSP,BSP-24,Box Shape Prism,3.7266666666666666,4.1087933333333355,-0.38212666666666895,0.38212666666666895,10.253846153846215
BSP,BSP-25,Box Shape Prism,5.4433333333333325,4.615646666666662,0.8276866666666702,0.8276866666666702,15.205511328842688
BSP,BSP-27,Box Shape Prism,4.7125,4.243039999999999,0.46946000000000154,0.46946000000000154,9.962015915119396
BSP,BSP-28,Box Shape Prism,5.425,5.621823333333332,-0.1968233333333318,0.1968233333333318,3.6280798771121074
BSP,BSP-29,Box Shape Prism,4.826666666666667,4.127794999999999,0.6988716666666681,0.6988716666666681,14.479385359116051
BSP,BSP-31,Box Shape Prism,4.460000000000001,3.8256366666666657,0.6343633333333352,0.6343633333333352,14.223393124065808
BSP,BSP-46,Box Shape Prism,4.140000000000001,4.517945000000001,-0.3779450000000004,0.3779450000000004,9.129106280193247
BSP,BSP-47,Box Shape Prism,5.140000000000001,5.1499733333333335,-0.009973333333332945,0.009973333333332945,0.19403372243838413
BSP,BSP-49,Box Shape Prism,3.8,4.110498333333332,-0.31049833333333243,0.31049833333333243,8.1710087719298
BSP,BSP-50,Box Shape Prism,5.335,4.359721666666666,0.9752783333333337,0.9752783333333337,18.280756013745712
BSP,BSP-6,Box Shape Prism,5.595,5.181105000000001,0.41389499999999835,0.41389499999999835,7.3975871313672625
BSP,BSP-8,Box Shape Prism,4.826666666666667,5.053885000000003,-0.22721833333333574,0.22721833333333574,4.707562154696182
BSP,BSP-9,Box Shape Prism,5.014,5.053885000000003,-0.03988500000000261,0.03988500000000261,0.795472676505836
C,C-11,Cylinder,6.06,6.152836666666667,-0.09283666666666779,0.09283666666666779,1.5319581958196005
C,C-13,Cylinder,6.23,5.623873333333335,0.6061266666666656,0.6061266666666656,9.729159978598164
C,C-14,Cylinder,5.585,5.8743250000000025,-0.2893250000000025,0.2893250000000025,5.18039391226504
C,C-15,Cylinder,5.49,5.771871666666666,-0.28187166666666563,0.28187166666666563,5.13427443837278
C,C-16,Cylinder,4.295,5.749898333333335,-1.4548983333333352,1.4548983333333352,33.87423360496706
C,C-18,Cylinder,4.11,5.02787,-0.9178699999999997,0.9178699999999997,22.332603406326026
C,C-19,Cylinder,6.13,6.110810000000002,0.019189999999998264,0.019189999999998264,0.31305057096245126
C,C-22,Cylinder,4.578,6.0939666666666685,-1.5159666666666682,1.5159666666666682,33.11416921508668
C,C-23,Cylinder,3.3300000000000005,4.935264999999998,-1.605264999999997,1.605264999999997,48.20615615615606
C,C-24,Cylinder,3.27,6.106733333333335,-2.8367333333333353,2.8367333333333353,86.75025484199801
C,C-25,Cylinder,5.8740000000000006,6.081340000000001,-0.2073400000000003,0.2073400000000003,3.5297923050732085
C,C-27,Cylinder,5.37,6.0759966666666685,-0.7059966666666684,0.7059966666666684,13.14705152079457
