Klasor,experiment,category,particle_code,Video Suresi (sn),Boyut Tipi,a_v,b_v,c_v,material_v,Kaynak,velocity_ms,view,particle_code_clean,a_mm,b_mm,c_mm,volume_mm3,surface_area_mm2,density_kg_m3,weight_g,matched,L,I,S,d_eq,sphericity,aspect_ratio,CSF,flatness,elongation,density_ratio,density_diff,category_encoded,view_encoded
IC CAPTURE 06.11.23(MAK),THIRD,WSP,WSP-4,4.02,"a, b, c (mm)",3.57,3.48,2.82,Plexiglass,Part 1 (2023-2024),0.0709,MAK,WSP-4,3.57,3.48,2.82,35.03455199999999,64.60919999999999,1200.0,,False,3.57,3.48,2.82,3.27214235506287,0.80140886064102,1.2659574468085106,0.8000651958366296,0.8103448275862069,0.9747899159663866,1.2,200.0,14,1
IC CAPTURE 06.11.23(MAK),THIRD,WSP,WSP-19,5.74,"a, b, c (mm)",4.04,1.61,2.85,Plexiglass,Part 1 (2023-2024),0.0497,MAK,WSP-19,4.04,1.61,2.85,18.537540000000003,45.213800000000006,1200.0,,False,4.04,2.85,1.61,2.6465739515671904,0.7491713886274561,2.5093167701863353,0.4744743761743053,0.5649122807017544,0.7054455445544554,1.2,200.0,14,1
IC CAPTURE 10.11.23(MAK),FIRST,BSP,BSP-6,2.06,"a, b, c (mm)",4.87,3.84,2.32,Plexiglass,Part 1 (2023-2024),0.1383,MAK,BSP-6,4.87,3.84,2.32,43.385856,77.816,1200.0,,False,4.87,3.84,2.32,3.5138459965590223,0.7673273331820402,2.099137931034483,0.53648538097255,0.6041666666666666,0.7885010266940451,1.2,200.0,4,1
IC CAPTURE 10.11.23(MAK),FIRST,BSP,BSP-16,1.7,"a, b, c (mm)",3.84,2.86,2.76,Plexiglass,Part 1 (2023-2024),0.1676,MAK,BSP-16,3.84,2.86,2.76,30.31142399999999,58.94879999999999,1200.0,,False,3.84,2.86,2.76,3.1179473678285694,0.7975294250947375,1.391304347826087,0.8328378480345866,0.965034965034965,0.7447916666666666,1.2,200.0,4,1
IC CAPTURE 10.11.23(MAK),FIRST,C,C-11,1.22,"a, b, c (mm)",3.79,2.87,3.81,Plexiglass,Part 1 (2023-2024),0.2336,MAK,C-11,3.79,2.87,3.81,41.442513,72.5038,1200.0,,False,3.81,3.79,2.87,3.460578411325615,0.7987681577495177,1.3275261324041812,0.7552657730854594,0.7572559366754618,0.994750656167979,1.2,200.0,5,1
IC CAPTURE 10.11.23(MAK),FIRST,C,C-12,3.34,"a, b, c (mm)",2.85,2.32,2.87,Plexiglass,Part 1 (2023-2024),0.0853,MAK,C-12,2.85,2.32,2.87,18.97644,42.8998,1200.0,,False,2.87,2.85,2.32,2.6672982531778975,0.8019956599506926,1.2370689655172415,0.8111937698435692,0.8140350877192981,0.9930313588850174,1.2,200.0,5,1
IC CAPTURE 10.11.23(MAK),FIRST,HC,HC-12,4.52,"a, b, c (mm)",3.65,1.85,2.3,Plexiglass,Part 1 (2023-2024),0.0631,MAK,HC-12,3.65,1.85,2.3,15.53075,38.805,1200.0,,False,3.65,2.3,1.85,2.4949631923759,0.7757552486356214,1.9729729729729728,0.6385007006487975,0.8043478260869567,0.6301369863013698,1.2,200.0,6,1
IC CAPTURE 10.11.23(MAK),FIRST,WSP,WSP-6,4.26,"a, b, c (mm)",3.61,3.47,2.84,Plexiglass,Part 1 (2023-2024),0.0669,MAK,WSP-6,3.61,3.47,2.84,35.575828,65.26780000000001,1200.0,,False,3.61,3.47,2.84,3.288907598877681,0.8014722590289826,1.2711267605633803,0.8024167794472915,0.8184438040345821,0.961218836565097,1.2,200.0,14,1
IC CAPTURE 10.11.23(MAK),FIRST,WSP,WSP-15,5.96,"a, b, c (mm)",4.01,1.66,2.88,Plexiglass,Part 1 (2023-2024),0.0478,MAK,WSP-15,4.01,1.66,2.88,19.171007999999997,45.97239999999999,1200.0,,False,4.01,2.88,1.66,2.676383329697704,0.7535005609735873,2.4156626506024095,0.48847198148629367,0.5763888888888888,0.7182044887780549,1.2,200.0,14,1
IC CAPTURE 10.11.23(MAK),SECOND,BSP,BSP-6,3.8,"a, b, c (mm)",4.84,3.83,2.31,Plexiglass,Part 1 (2023-2024),0.075,MAK,BSP-6,4.84,3.83,2.31,42.820932,77.1298,1200.0,,False,4.84,3.83,2.31,3.4985281430306863,0.7674192041617143,2.0952380952380953,0.5365249368229758,0.6031331592689295,0.7913223140495869,1.2,200.0,4,1
