date,view,repeat,category,code,velocity_ms,category_norm,material,a,b,c,density,d_eq,volume,surface_area,sphericity,L,I,S,aspect_ratio,CSF,delta_rho,cat_enc,mat_enc,view_enc
01.11.23,MAK,SECOND,WSP,WSP-2,0.0279,WSP,Plexiglass,3.49,3.516666666666666,2.3466666666666662,1236.073628322845,3.0652743101640594,28.8010311111111,57.43095555555554,0.7911826829877571,3.516666666666666,3.49,2.3466666666666662,1.4985795454545454,0.6698431005985057,236.07362832284502,12,5,1
01.11.23,MAK,THIRD,BSP,BSP-1,0.0316,BSP,Plexiglass,4.846666666666667,4.836666666666667,2.34,1148.5115909612796,3.7995752987960736,54.853604,92.20142222222222,0.7572104791587373,4.846666666666667,4.836666666666667,2.34,2.0712250712250713,0.4833049048761737,148.51159096127958,2,5,1
01.11.23,MAK,THIRD,BSP,BSP-5,0.0369,BSP,Plexiglass,3.8433333333333333,2.7999999999999994,2.32,1081.4580938994018,2.922703028626287,24.966293333333326,52.34773333333332,0.7891428433526539,3.8433333333333333,2.7999999999999994,2.32,1.656609195402299,0.7072206660578567,81.45809389940177,2,5,1
01.11.23,MAK,THIRD,HC,HC-2,0.0195,HC,Plexiglass,4.766666666666667,2.31,2.8766666666666665,1117.4791152936064,3.1640167057979487,31.674976666666662,62.73642222222222,0.7716882941635123,4.766666666666667,2.8766666666666665,2.31,2.0634920634920633,0.6238207521935117,117.47911529360636,4,5,1
01.11.23,MAK,THIRD,WSP,WSP-2,0.0287,WSP,Plexiglass,3.49,3.516666666666666,2.3466666666666662,1236.073628322845,3.0652743101640594,28.8010311111111,57.43095555555554,0.7911826829877571,3.516666666666666,3.49,2.3466666666666662,1.4985795454545454,0.6698431005985057,236.07362832284502,12,5,1
03.02.2024,ANG,FIRST,BSP,BSP-20,0.0554,BSP,Plexiglass,4.83,4.783333333333333,2.8666666666666667,1132.416763593153,4.045929626587481,66.23003333333334,101.32344444444445,0.7812874146761742,4.83,4.783333333333333,2.8666666666666667,1.6848837209302325,0.5964009244695648,132.41676359315306,2,5,0
03.02.2024,ANG,FIRST,BSP,BSP-37,0.051699999999999996,BSP,Plexiglass,3.78,2.7133333333333334,2.8533333333333335,1178.8855246799174,3.0816441438236204,29.264928,57.568088888888894,0.7977508682715053,3.78,2.8533333333333335,2.7133333333333334,1.393120393120393,0.826192018787336,178.88552467991735,2,5,0
03.02.2024,ANG,FIRST,BSP,BSP-39,0.049400000000000006,BSP,Plexiglass,2.8233333333333337,2.3166666666666664,1.7299999999999998,1131.1967821379317,2.2450392398234844,11.315449444444443,30.865844444444445,0.7896849001034535,2.8233333333333337,2.3166666666666664,1.7299999999999998,1.6319845857418116,0.6764461827968133,131.19678213793168,2,5,0
03.02.2024,ANG,FIRST,BSP,BSP-41,0.0572,BSP,Plexiglass,3.8266666666666667,2.8666666666666667,2.7900000000000005,1127.2417407487758,3.1280043214379414,30.605680000000007,59.28835555555556,0.7980854780999066,3.8266666666666667,2.8666666666666667,2.7900000000000005,1.371565113500597,0.8423746488490618,127.24174074877578,2,5,0
03.02.2024,ANG,FIRST,BSP,BSP-44,0.0629,BSP,Plexiglass,3.733333333333334,3.763333333333333,2.3433333333333333,1169.384152694954,3.2050477817386063,32.923312592592595,63.23393333333334,0.7856026584776238,3.763333333333333,3.733333333333334,2.3433333333333333,1.6059743954480796,0.6251717466163227,169.38415269495408,2,5,0
03.02.2024,ANG,FIRST,C,C-41,0.0496,C,Plexiglass,1.8166666666666667,2.8866666666666667,1.8166666666666667,1398.1217535842547,2.1199016398422907,9.52680185185185,27.576999999999998,0.7880767716439088,2.8866666666666667,1.8166666666666667,1.8166666666666667,1.5889908256880734,0.7933033808333169,398.12175358425475,3,5,0
03.02.2024,ANG,FIRST,HC,HC-18,0.0429,HC,Plexiglass,3.7466666666666666,1.8633333333333333,2.2866666666666666,1124.5704534628999,2.5179445210971467,15.963880592592592,39.61897777777777,0.7738791969002403,3.7466666666666666,2.2866666666666666,1.8633333333333333,2.0107334525939176,0.6365999415597936,124.57045346289988,4,5,0
03.02.2024,ANG,FIRST,HC,HC-19,0.043,HC,Plexiglass,3.6833333333333336,1.82,2.28,1157.911856990913,2.4816988879648734,15.28436,38.50253333333333,0.773558194638581,3.6833333333333336,2.28,1.82,2.0238095238095237,0.6280344294559362,157.91185699091307,4,5,0
03.02.2024,ANG,FIRST,HC,HC-20,0.043899999999999995,HC,Plexiglass,3.6966666666666668,1.8533333333333335,2.276666666666667,1150.9875515977947,2.4985483562676825,15.597797481481486,38.973311111111116,0.7746264789305388,3.6966666666666668,2.276666666666667,1.8533333333333335,1.9946043165467624,0.6388496580459241,150.98755159779466,4,5,0
03.02.2024,ANG,FIRST,HC,HC-39,0.035,HC,Plexiglass,3.703333333333333,1.8966666666666665,1.0,1268.8830462762808,1.9151138862377164,7.023988888888888,25.247977777777777,0.7025006587156568,3.703333333333333,1.8966666666666665,1.0,3.703333333333333,0.377318493731645,268.88304627628077,4,5,0
03.02.2024,ANG,FIRST,WSP,WSP-36,0.0298,WSP,Plexiglass,2.513333333333333,1.6000000000000003,2.39,1269.3805977603408,2.1261275983988743,9.610986666666667,27.7044,0.7890672624247563,2.513333333333333,2.39,1.6000000000000003,1.5708333333333329,0.6528238112688121,269.38059776034083,12,5,0
03.02.2024,ANG,FIRST,WSP,WSP-37,0.039599999999999996,WSP,Plexiglass,2.486666666666667,2.4966666666666666,1.0233333333333332,1261.0,1.8521027880297907,6.353239925925926,22.615977777777776,0.7334979877127807,2.4966666666666666,2.486666666666667,1.0233333333333332,2.439739413680782,0.4107031680478369,261.0,12,5,0
03.02.2024,ANG,FIRST,WSP,WSP-38,0.030299999999999997,WSP,Plexiglass,4.423333333333333,1.6866666666666665,1.0200000000000002,1235.2511234871788,1.9669487035267934,7.609902666666667,27.385777777777776,0.6831956819033462,4.423333333333333,1.6866666666666665,1.0200000000000002,4.336601307189541,0.3734312914906341,235.2511234871788,12,5,0
03.02.2024,ANG,FIRST,WSP,WSP-39,0.037000000000000005,WSP,Plexiglass,2.4933333333333336,2.51,1.06,1266.2429576541222,1.8789705646257588,6.633762666666667,23.1236,0.7383607963774909,2.51,2.4933333333333336,1.06,2.3679245283018866,0.4237198725225153,266.24295765412216,12,5,0
