date,view,repeat,category,code,velocity_ms,cat_excel,a,b,c,material,measured_density,density,d_eq,volume,surface_area,sphericity,L,I,S,aspect_ratio,CSF,delta_rho,cat_enc,mat_enc,view_enc
03.02.2024,ANG,SECOND,BSP,BSP-39,0.0256,BSP,2.82,2.31,1.74,Plexiglass,1131.1967821379317,1131.1967821379317,2.2463121810763838,11.334708,30.8808,0.7901977816667818,2.82,2.31,1.74,1.6206896551724137,0.6817398868189477,131.19678213793168,2,0,0
03.02.2024,ANG,SECOND,BSP,BSP-41,0.0599,BSP,3.84,2.87,2.8,Plexiglass,1127.2417407487758,1127.2417407487758,3.1365849249069666,30.858239999999995,59.617599999999996,0.7980383045288395,3.84,2.87,2.8,1.3714285714285714,0.8434347122457898,127.24174074877578,2,0,0
03.02.2024,ANG,SECOND,HC,HC-18,0.0425,HC,3.75,1.87,2.28,Plexiglass,1124.5704534628999,1124.5704534628999,2.5192382429228477,15.988499999999998,39.65219999999999,0.7740255867973552,3.75,2.28,1.87,2.0053475935828877,0.6395265061330795,124.57045346289988,4,0,0
03.02.2024,ANG,SECOND,HC,HC-19,0.0431,HC,3.68,1.81,2.28,Plexiglass,1157.911856990913,1157.911856990913,2.476397822779879,15.186623999999998,38.355999999999995,0.7731996371695253,3.68,2.28,1.81,2.0331491712707184,0.624866499853534,157.91185699091307,4,0,0
03.02.2024,ANG,SECOND,HC,HC-20,0.0417,HC,3.7,1.85,2.28,Plexiglass,1150.9875515977947,1150.9875515977947,2.499018281208414,15.6066,38.998000000000005,0.7744273028537035,3.7,2.28,1.85,2.0,0.6369472147564231,150.98755159779466,4,0,0
03.02.2024,ANG,SECOND,WSP,WSP-39,0.0353,WSP,2.49,2.5,1.06,Plexiglass,1266.2429576541222,1266.2429576541222,1.8756353402473833,6.5985000000000005,23.0288,0.7387706450171557,2.5,2.49,1.06,2.3584905660377355,0.42485055250978726,266.24295765412216,10,0,0
03.02.2024,ANG,SECOND,WSP,WSP-40,0.0323,WSP,3.33,1.68,2.85,Plexiglass,1151.597361506857,1151.597361506857,2.516900952317635,15.944040000000001,39.7458,0.7707705841575667,3.33,2.85,1.68,1.9821428571428572,0.5453367115563341,151.59736150685694,10,0,0
03.02.2024,ANG,THIRD,BSP,BSP-20,0.0623,BSP,4.84,4.74,2.86,Plexiglass,1132.416763593153,1132.416763593153,4.033325252509062,65.612976,100.6808,0.7813829988261831,4.84,4.74,2.86,1.6923076923076923,0.5971097758270129,132.41676359315306,2,0,0
03.02.2024,ANG,THIRD,BSP,BSP-39,0.04769999999999999,BSP,2.82,2.32,1.72,Plexiglass,1131.1967821379317,1131.1967821379317,2.2408967497955428,11.252927999999997,30.766399999999997,0.7893164170249377,2.82,2.32,1.72,1.6395348837209303,0.6724498488492748,131.19678213793168,2,0,0
03.02.2024,ANG,THIRD,BSP,BSP-44,0.051500000000000004,BSP,3.73,3.76,2.34,Plexiglass,1169.384152694954,1169.384152694954,3.2016278176334714,32.818031999999995,63.1028,0.7855560608581654,3.76,3.73,2.34,1.606837606837607,0.6248381228960915,169.38415269495408,2,0,0
03.02.2024,ANG,THIRD,HC,HC-18,0.0449,HC,3.73,1.85,2.29,Plexiglass,1124.5704534628999,1124.5704534628999,2.5094122526620013,15.802145000000001,39.3574,0.7737519422709324,3.73,2.29,1.85,2.016216216216216,0.6329939677395672,124.57045346289988,4,0,0
03.02.2024,ANG,THIRD,HC,HC-19,0.0438,HC,3.68,1.82,2.28,Plexiglass,1157.911856990913,1157.911856990913,2.48095003490554,15.270528,38.4752,0.7736406376642421,3.68,2.28,1.82,2.021978021978022,0.6283188009576972,157.91185699091307,4,0,0
03.02.2024,ANG,THIRD,HC,HC-20,0.0462,HC,3.71,1.85,2.27,Plexiglass,1150.9875515977947,1150.9875515977947,2.4976054404995303,15.580145,38.9694,0.7741196094156375,3.71,2.27,1.85,2.0054054054054054,0.6374877518196195,150.98755159779466,4,0,0
03.02.2024,ANG,THIRD,WSP,WSP-40,0.032400000000000005,WSP,3.32,1.68,2.85,Plexiglass,1151.597361506857,1151.597361506857,2.514379005786743,15.896159999999998,39.6552,0.7709841742930963,3.32,2.85,1.68,1.9761904761904763,0.5461573842727827,151.59736150685694,10,0,0
06.11.2024,ANG,FIRST,ABS C,C-14,0.038,C,2.79,2.91,2.83,Plexiglass,1131.052140242979,1131.052140242979,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,131.05214024297902,0,0,0
