category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,stokes_factor,equiv_diameter,buoyancy_factor,size_squared,stokes_velocity_est
C,C-29,0,Cylinder,2.83,1.0266666666666666,0.0,1476.0484037103697,3.01,0.0,1,6.4579133601893925,21.708143436917663,2.753811222834901,0.2974743512545655,3812.62406047598,1.7045429494931086,0.4760484037103697,8.0089,3.8126240604759802
C,C-30,0,Cylinder,4.763333333333334,2.8766666666666665,0.0,1455.4758977433785,5.6625,0.7545141924885616,4,51.26268746658205,78.68808205970174,1.6552762654928763,0.6514587046229465,10334.449530042071,3.7016918054076604,0.4554758977433785,22.689344444444448,10.334449530042072
C,C-49,0,Cylinder,3.813333333333333,2.29,0.0,1430.647883703563,5.51,0.8343860018001259,2,26.15380631409068,50.27581480660849,1.6644842135894078,0.5201961662585867,6262.270985851845,2.955086011156584,0.4306478837035629,14.54151111111111,6.262270985851845
HC,HC-11,1,Half Cylinder,4.663333333333333,2.31,0.0,1138.4927130648057,3.7466666666666666,0.5208006656421761,3,19.7271699085955,43.29127777777778,2.017885475263234,0.4556741045101949,3011.7564055905636,3.2821182184680673,0.13849271306480568,21.746677777777776,3.0117564055905635
HC,HC-12,1,Half Cylinder,3.6533333333333338,1.846666666666667,0.0,1153.6296910982069,3.714,0.1879627622695513,5,9.67892210175872,26.83982222222223,1.97726862709724,0.360604530726532,2050.471589135819,2.597400409811489,0.15362969109820687,13.346844444444448,2.050471589135819
HC,HC-14,1,Half Cylinder,3.706666666666667,1.81,0.0,1130.6910809482663,3.37,0.1555634918610402,2,9.765748275965798,27.15751111111112,2.046751334437696,0.3595833451993038,1795.614133334367,2.5901866084640828,0.13069108094826629,13.739377777777781,1.795614133334367
HC,HC-15,1,Half Cylinder,3.763333333333333,1.8733333333333333,0.0,1111.9996023887884,3.872,0.6690814599135143,5,10.41886284481094,28.262633333333333,2.0078250044460253,0.3686314042477768,1586.2142798716402,2.6551794247805134,0.1119996023887884,14.162677777777777,1.58621427987164
HC,HC-16,1,Half Cylinder,3.773333333333333,1.8633333333333333,0.0,1121.506455629814,2.52,0.0,1,10.418394136640316,28.3,2.023958519578044,0.3681281275092865,1730.014315544207,2.651599098238227,0.1215064556298139,14.238044444444443,1.730014315544207
HC,HC-21,1,Half Cylinder,3.693333333333334,1.8033333333333328,0.0,1128.311395460916,4.416,0.3986602563587197,5,9.659906157781815,26.961333333333336,2.046924071679292,0.3582741166484781,1750.2586777458885,2.5807578559622963,0.12831139546091594,13.640711111111115,1.7502586777458884
HC,HC-22,1,Half Cylinder,3.6633333333333336,1.87,0.0,1108.7013105227345,4.41,0.098994949366117,2,9.854948694276416,27.12087777777778,1.9579547479066453,0.3633579051945672,1458.7727950074363,2.6173332484292735,0.1087013105227345,13.420011111111112,1.4587727950074363
HC,HC-24,1,Half Cylinder,3.713333333333333,1.8033333333333328,0.0,1138.1724235527815,4.66,0.5060961700441263,4,9.764809347005858,27.18159999999999,2.058008498060226,0.3592301452769735,1905.238054881196,2.587736033249484,0.13817242355278153,13.788844444444441,1.905238054881196
HC,HC-26,1,Half Cylinder,2.6733333333333333,1.3,0.0,1108.7353552697994,3.5000000000000004,0.0,1,3.648458957649223,14.097377777777778,2.054829618242378,0.25878572805731,777.1001716772892,1.8642245930502401,0.10873535526979936,7.146711111111111,0.7771001716772892
HC,HC-31,1,Half Cylinder,2.6666666666666665,1.3333333333333333,0.0,1099.4040757852938,3.74,0.0,1,3.723369070921236,14.22222222222222,1.9985011241568824,0.2617809813239001,706.8734278065336,1.8856180831641267,0.0994040757852938,7.111111111111111,0.7068734278065336
HC,HC-41,1,Half Cylinder,3.713333333333333,1.8133333333333328,0.0,1152.6605978153025,3.07,1.3859292911256331,2,9.818958012516058,27.25586666666666,2.0466654418519203,0.3602379588452106,2105.013236071101,2.594900982910737,0.15266059781530247,13.788844444444441,2.105013236071101
HC,HC-42,1,Half Cylinder,4.736666666666667,2.3833333333333333,0.0,1135.8782099378006,4.535,0.1343502884254437,2,20.9985989554191,45.01412222222223,1.9865790577380125,0.4664787724391184,3048.565027922384,3.3599189805046725,0.13587820993780064,22.436011111111117,3.0485650279223844
HC,HC-44,1,Half Cylinder,3.6366666666666654,1.7933333333333332,0.0,1136.002890262925,4.359999999999999,0.4808326112068524,2,9.31382124247889,26.26885555555554,2.026750882407579,0.3545440599314298,1798.6850691671598,2.5537728081322255,0.1360028902629249,13.225344444444435,1.7986850691671599
HC,HC-46,1,Half Cylinder,4.756666666666667,2.8666666666666667,0.0,1055.298996996876,3.96,0.0,1,25.4707960877546,49.89743333333334,1.658723701034523,0.5104528215866749,1251.1883472850166,3.692665402900428,0.05529899699687599,22.62587777777778,1.2511883472850165
HC,HC-47,1,Half Cylinder,3.6833333333333336,1.8266666666666669,0.0,1165.1849226897173,3.94,0.0,1,9.731980634618122,27.023388888888896,2.01532008024804,0.3601184350414463,2241.054669191245,2.593881690097338,0.16518492268971727,13.566944444444447,2.241054669191245
HC,HC-6,1,Half Cylinder,4.796666666666667,2.3166666666666664,0.0,1127.2059157926574,4.304,0.3214498405661445,5,20.931604201193085,45.23256666666667,2.069610240184093,0.4627449423885009,2926.7551239565255,3.3335083287398244,0.1272059157926574,23.008011111111113,2.9267551239565255
HC,HC-7,1,Half Cylinder,4.756666666666667,2.313333333333333,0.0,1157.097783238867,3.35,0.4101219330881976,2,20.55434009872289,44.63338888888889,2.055307503960824,0.4605045708117583,3554.4752427224294,3.317190913341521,0.1570977832388669,22.62587777777778,3.5544752427224293
PA 6,BSP-1,4,Box Shape Prism,3.0,3.0,3.033333333333333,1146.52,5.216666666666667,0.2625769728416158,6,27.3,54.400000000000006,0.9996667777407532,0.5018290104961305,1318.6799999999998,3.0110702110075778,0.14651999999999998,9.0,1.3186799999999999
PA 6,BSP-2,4,Box Shape Prism,7.899999999999999,7.833333333333333,2.833333333333333,1211.9579854565045,4.78,0.0,1,175.33611111111105,212.92222222222216,1.0083819086925072,0.8234710581644191,13228.297872340441,5.597023408672111,0.21195798545650452,62.409999999999975,13.228297872340441
PA 6,BSP-3,4,Box Shape Prism,7.900000000000001,7.966666666666666,4.133333333333334,1196.6715130930395,6.432,0.2548921340488954,5,260.1382222222222,257.0377777777778,0.9915073421746228,1.0120582756860292,12274.269132136598,6.383635129167746,0.19667151309303949,62.41000000000002,12.274269132136599
PA 6,BSP-4,4,Box Shape Prism,7.883333333333333,7.966666666666666,8.066666666666668,1190.640592916557,8.096666666666666,0.6350065616458882,3,506.618037037037,381.3211111111111,0.989415554532904,1.3285829021580569,11847.730336841209,7.971870147759259,0.1906405929165569,62.146944444444436,11.847730336841208
